"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport ICAO Identifier","AirportIcaoIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","5","5.46","Runway Identifier","RunwayIdentifier",,,,,,
"18","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","5","5.57","Runway Length","RunwayLength",,,,,,
"27","4","5.58","Runway Magnetic Bearing","RunwayMagneticBearing",,,,,,
"31","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"32","9","5.36","Runway Latitude","RunwayLatitude",,,,,,
"41","10","5.37","Runway Longitude","RunwayLongitude",,,,,,
"51","5","5.212","Runway Gradient","RunwayGradient",,,,,,
"56","4",,"Blank (Spacing)","BlankSpacing",,,,,,
"60","6","5.225","(LTP) Ellipsoid Height","LtpEllipsoidHeight",,,,,,
"66","5","5.68","Landing Threshold Elevation","LandingThresholdElevation",,,,,,
"71","4","5.69","Displaced Threshold Distance","DisplacedThresholdDistance",,,,,,
"75","2","5.67","Threshold Crossing Height","ThresholdCrossingHeight",,,,,,
"77","3","5.109","Runway Width","RunwayWidth",,,,,,
"80","1","5.270","TCH Value Indicator","TchValueIndicator",,,,,,
"81","4","5.44","Localizer/MLS/GLS Ref Path Identifier","LocalizerMlsGlsRefPathIdentifier",,,,,,
"85","1","5.80","Localizer/MLS/GLS Category/Class","LocalizerMlsGlsCategoryClass",,,,,,
"86","4","5.79","Stopway","Stopway",,,,,,
"90","4","5.44","Second Localizer/MLS/GLS Ref Path Ident","SecondLocalizerMlsGlsRefPathIdent",,,,,,
"94","1","5.80","Second Localizer/MLS/GLS Category/Class","SecondLocalizerMlsGlsCategoryClass",,,,,,
"95","6",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"101","22","5.59","Runway Description","RunwayDescription",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
