"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection","Subsection",,,,,,
"13","4","5.44","Localizer Identifier","LocalizerIdentifier",,,,,,
"17","1","5.80","ILS Category","IlsCategory",,,,,,
"18","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","5","5.45","Localizer Frequency","LocalizerFrequency",,,,,,
"27","5","5.46","Runway Identifier","RunwayIdentifier",,,,,,
"32","9","5.36","Localizer Latitude","LocalizerLatitude",,,,,,
"41","10","5.37","Localizer Longitude","LocalizerLongitude",,,,,,
"51","4","5.47","Localizer Bearing","LocalizerBearing",,,,,,
"55","9","5.36","Glide Slope Latitude","GlideSlopeLatitude",,,,,,
"64","10","5.37","Glide Slope Longitude","GlideSlopeLongitude",,,,,,
"74","4","5.48","Localizer Position","LocalizerPosition",,,,,,
"78","1","5.49","Localizer Position Reference","LocalizerPositionReference",,,,,,
"79","4","5.50","Glide Slope Position","GlideSlopePosition",,,,,,
"83","4","5.51","Localizer Width","LocalizerWidth",,,,,,
"87","3","5.52","Glide Slope Angle","GlideSlopeAngle",,,,,,
"90","5","5.66","Station Declination","StationDeclination",,,,,,
"95","2","5.67","Glide Slope Height at Landing Threshold","GlideSlopeHeightAtLandingThreshold",,,,,,
"97","5","5.74","Glide Slope Elevation","GlideSlopeElevation",,,,,,
"102","4","5.33","Supporting Facility ID","SupportingFacilityId","Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS.",,,,,
"106","2","5.14","Supporting Facility ICAO Location Code","SupportingFacilityIcaoLocationCode","Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS.",,,,,
"108","1","5.4","Supporting Facility Section Code","SupportingFacilitySectionCode","Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS.",,,,,
"109","1","5.5","Supporting Facility Subsection Code","SupportingFacilitySubsectionCode","Terminal Navaids used as Supporting Facilities must be located at the same airport as the ILS.",,,,,
"110","13",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
