"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","2","5.14","Airspace ICAO Location Code","AirspaceIcaoLocationCode",,,,,,
"8","1","5.128","Restrictive Type","RestrictiveType",,,,,,
"9","10","5.129","Restrictive Airspace Designation","RestrictiveAirspaceDesignation",,,,,,
"19","1","5.130","Multiple Code","MultipleCode",,,,,,
"20","4","5.12","Sequence Number","SequenceNumber",,,,,,
"24","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"25","1","5.91","Application Type","ApplicationType",,,,,,
"26","1","5.131","Time Code","TimeCode",,,,,,
"27","1","5.132","NOTAM","Notam",,,,,,
"28","1","5.138","Time Indicator","TimeIndicator",,,,,,
"29","10","5.195","Time of Operations 1","TimeofOperations1",,,,,,
"39","10","5.195","Time of Operations 2","TimeofOperations2",,,,,,
"49","10","5.195","Time of Operations 3","TimeofOperations3",,,,,,
"59","10","5.195","Time of Operations 4","TimeofOperations4",,,,,,
"69","10","5.195","Time of Operations 5","TimeofOperations5",,,,,,
"79","10","5.195","Time of Operations 6","TimeofOperations6",,,,,,
"89","10","5.195","Time of Operations 7","TimeofOperations7",,,,,,
"99","24","5.140","Controlling Agency","ControllingAgency",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
