"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","7",,"Blank (Spacing)","BlankSpacing",,,,,,
"13","3","5.141","Starting Latitude","StartingLatitude",,,,,,
"16","4","5.142","Starting Longitude","StartingLongitude",,,,,,
"20","10",,"Blank (Spacing)","BlankSpacing",,,,,,
"30","3","5.143","MORA 1","Mora1",,,,,,
"33","3","5.143","MORA 2","Mora2",,,,,,
"36","3","5.143","MORA 3","Mora3",,,,,,
"39","3","5.143","MORA 4","Mora4",,,,,,
"42","3","5.143","MORA 5","Mora5",,,,,,
"45","3","5.143","MORA 6","Mora6",,,,,,
"48","3","5.143","MORA 7","Mora7",,,,,,
"51","3","5.143","MORA 8","Mora8",,,,,,
"54","3","5.143","MORA 9","Mora9",,,,,,
"57","3","5.143","MORA 10","Mora10",,,,,,
"60","3","5.143","MORA 11","Mora11",,,,,,
"63","3","5.143","MORA 12","Mora12",,,,,,
"66","3","5.143","MORA 13","Mora13",,,,,,
"69","3","5.143","MORA 14","Mora14",,,,,,
"72","3","5.143","MORA 15","Mora15",,,,,,
"75","3","5.143","MORA 16","Mora16",,,,,,
"78","3","5.143","MORA 17","Mora17",,,,,,
"81","3","5.143","MORA 18","Mora18",,,,,,
"84","3","5.143","MORA 19","Mora19",,,,,,
"87","3","5.143","MORA 20","Mora20",,,,,,
"90","3","5.143","MORA 21","Mora21",,,,,,
"93","3","5.143","MORA 22","Mora22",,,,,,
"96","3","5.143","MORA 23","Mora23",,,,,,
"99","3","5.143","MORA 24","Mora24",,,,,,
"102","3","5.143","MORA 25","Mora25",,,,,,
"105","3","5.143","MORA 26","Mora26",,,,,,
"108","3","5.143","MORA 27","Mora27",,,,,,
"111","3","5.143","MORA 28","Mora28",,,,,,
"114","3","5.143","MORA 29","Mora29",,,,,,
"117","3","5.143","MORA 30","Mora30",,,,,,
"120","3",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
