"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","4","5.6","Airport ICAO Identifier","AirportIcaoIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"13","4","5.33","VOR Identifier","VorIdentifier",,,,,,
"17","2",,"Blank (Spacing)","BlankSpacing",,,,,,
"19","2","5.14","VOR ICAO Location Code","VorIcaoLocationCode",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","5","5.34","VOR Frequency","VorFrequency",,,,,,
"27","5","5.35","NAVAID Class","NavaidClass",,,,,,
"32","9","5.36","VOR Latitude","VorLatitude",,,,,,
"41","10","5.37","VOR Longitude","VorLongitude",,,,,,
"51","4","5.38","DME Ident","DmeIdent",,,,,,
"55","9","5.36","DME Latitude","DmeLatitude",,,,,,
"64","10","5.37","DME Longitude","DmeLongitude",,,,,,
"74","5","5.66","Station Declination","StationDeclination",,,,,,
"79","5","5.40","DME Elevation","DmeElevation",,,,,,
"84","1","5.149","Figure of Merit","FigureOfMerit",,,,,,
"85","2","5.90","ILS/DME Bias","IlsDmeBias",,,,,,
"87","3","5.150","Frequency Protection","FrequencyProtection",,,,,,
"90","3","5.197","Datum Code","DatumCode",,,,,,
"93","30","5.71","VOR Name","VorName",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
