"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","5","5.144","MSA Center","MsaCenter",,,,,,
"18","2","5.14","MSA ICAO Location Code","MsaIcaoLocationCode",,,,,,
"20","1","5.4","MSA Section Code","MsaSectionCode",,,,,,
"21","1","5.5","MSA Subsection Code","MsaSubsectionCode",,,,,,
"22","1","5.130","Multiple Code","MultipleCode",,,,,,
"23","15",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"38","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"39","3",,"Reserved (Spacing)","ReservedSpacing",,,,,,
"42","6","5.146","Sector Bearing 1","SectorBearing1",,,,,,
"48","3","5.147","Sector Altitude 1","SectorAltitude1",,,,,,
"51","2","5.145","Sector Radius 1","SectorRadius1",,,,,,
"53","6","5.146","Sector Bearing 2","SectorBearing2",,,,,,
"59","3","5.147","Sector Altitude 2","SectorAltitude2",,,,,,
"62","2","5.145","Sector Radius 2","SectorRadius2",,,,,,
"64","6","5.146","Sector Bearing 3","SectorBearing3",,,,,,
"70","3","5.147","Sector Altitude 3","SectorAltitude3",,,,,,
"73","2","5.145","Sector Radius 3","SectorRadius3",,,,,,
"75","6","5.146","Sector Bearing 4","SectorBearing4",,,,,,
"81","3","5.147","Sector Altitude 4","SectorAltitude4",,,,,,
"84","2","5.145","Sector Radius 4","SectorRadius4",,,,,,
"86","6","5.146","Sector Bearing 5","SectorBearing5",,,,,,
"92","3","5.147","Sector Altitude 5","SectorAltitude5",,,,,,
"95","2","5.145","Sector Radius 5","SectorRadius5",,,,,,
"97","6","5.146","Sector Bearing 6","SectorBearing6",,,,,,
"103","3","5.147","Sector Altitude 6","SectorAltitude6",,,,,,
"106","2","5.145","Sector Radius 6","SectorRadius6",,,,,,
"108","6","5.146","Sector Bearing 7","SectorBearing7",,,,,,
"114","3","5.147","Sector Altitude 7","SectorAltitude7",,,,,,
"117","2","5.145","Sector Radius 7","SectorRadius7",,,,,,
"119","1","5.165","Magnetic/True Indicator","MagneticTrueIndicator",,,,,,
"120","3",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
