"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","2","5.14","Airspace ICAO Location Code","AirspaceIcaoLocationCode",,,,,,
"8","1","5.213","Airspace Type","AirspaceType",,,,,,
"9","5","5.214","Airspace Center","AirspaceCenter",,,,,,
"14","1","5.4","Section Code","SectionCode",,,,,,
"15","1","5.5","Subsection Code","SubsectionCode",,,,,,
"16","1","5.215","Airspace Classification","AirspaceClassification",,,,,,
"17","2",,"Reserved (Spacing)","ReservedSpacing",,,,,,
"19","1","5.130","Multiple Code","MultipleCode",,,,,,
"20","4","5.12","Sequence Number","SequenceNumber",,,,,,
"24","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"25","1","5.19","Level","Level",,,,,,
"26","1","5.131","Time Code","TimeCode",,,,,,
"27","1","5.132","NOTAM","Notam",,,,,,
"28","2",,"Blank (Spacing)","BlankSpacing",,,,,,
"30","2","5.118","Boundary Via","BoundaryVia",,,,,,
"32","9","5.36","Latitude","Latitude",,,,,,
"41","10","5.37","Longitude","Longitude",,,,,,
"51","9","5.36","Arc Origin Latitude","ArcOriginLatitude",,,,,,
"60","10","5.37","Arc Origin Longitude","ArcOriginLongitude",,,,,,
"70","4","5.119","Arc Distance","ArcDistance",,,,,,
"74","4","5.120","Arc Bearing","ArcBearing",,,,,,
"78","3","5.211","RNP","Rnp",,,,,,
"81","5","5.121","Lower Limit","LowerLimit",,,,,,
"86","1","5.133","Lower Limit Unit Indicator","LowerLimitUnitIndicator",,,,,,
"87","5","5.121","Upper Limit","UpperLimit",,,,,,
"92","1","5.133","Upper Limit Unit Indicator","UpperLimitUnitIndicator",,,,,,
"93","30","5.216","Controlled Airspace Name","ControlledAirspaceName",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
