"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank","Blank",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","6","5.10","Approach Procedure Ident","ApproachProcedureIdent",,,,,,
"19","5","5.46 or 5.180","Runway or Helipad Identifier","RunwayOrHelipadIdentifier",,,"For helicopter procedures to a pad or point in space, runway number=00, runway letter is blank, and the pad identifier and/or final approach course are in the Continuation Record.",,,
"24","2","5.223","Operation Type","OperationType",,,,,,
"26","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"27","1","5.224","Route Indicator","RouteIndicator",,,,,,
"28","2","5.255","SBAS Service Provider Identifier","SbasServiceProviderIdentifier",,,,,,
"30","2","5.256","Reference Path Data Selector","ReferencePathDataSelector",,,,,,
"32","4","5.257","Reference Path Identifier","ReferencePathIdentifier",,,,,,
"36","1","5.258","Approach Performance Designator","ApproachPerformanceDesignator",,,,,,
"37","11","5.267","Landing Threshold Point Latitude","LandingThresholdPointLatitude",,,,,,
"48","12","5.268","Landing Threshold Point Longitude","LandingThresholdPointLongitude",,,,,,
"60","6","5.225","(LTP) Ellipsoid Height","LtpEllipsoidHeight",,,,,,
"66","4","5.226","Glide Path Angle","GlidePathAngle",,,,,,
"70","11","5.267","Flight Path Alignment Point Latitude","FlightPathAlignmentPointLatitude",,,,,,
"81","12","5.268","Flight Path Alignment Point Longitude","FlightPathAlignmentPointLongitude",,,,,,
"93","5","5.228","Course Width at Threshold","CourseWidthAtThreshold",,,,"If Runway Number = 00 (helipad), the Course Width field is ignored.",,
"98","4","5.259","Length Offset","LengthOffset",,,,,,
"102","6","5.265","Path Point TCH","PathPointTch",,,,,,
"108","1","5.266","TCH Units Indicator","TchUnitsIndicator",,,,,,
"109","3","5.263","HAL","Hal",,,,,,
"112","3","5.264","VAL","Val",,,,,,
"115","8","5.229","SBAS FAS Data CRC Remainder","SbasFasDataCrcRemainder",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
