"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank","Blank",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","6","5.10","Approach Procedure Ident","ApproachProcedureIdent",,,,,,
"19","5","5.46 or 5.180","Runway or Helipad Identifier","RunwayOrHelipadIdentifier",,,"For helicopter procedures to a pad or point in space, runway number=00, runway letter is blank, and the pad identifier and/or final approach course are in the Continuation Record.",,,
"24","2","5.223","Operation Type","OperationType",,,,,,
"26","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"27","1","5.91","Application Type","ApplicationType",,,,,,
"28","6","5.225","(FPAP) Ellipsoid Height","FpapEllipsoidHeight",,,,,,
"34","6","5.227","(FPAP) Orthometric Height","FpapOrthometricHeight",,,,,,
"40","6","5.227","(LTP) Orthometric Height","LtpOrthometricHeight",,,,,,
"46","10","5.262","Approach Type Identifier","ApproachTypeIdentifier",,,,,,
"56","5","5.244","GNSS Channel Number","GnssChannelNumber",,,,,,
"61","10",,"Blank (Spacing)","BlankSpacing",,,,,,
"71","3","5.269","Helicopter Procedure Course","HelicopterProcedureCourse",,,,,,
"74","49",,"Blank (Spacing)","BlankSpacing",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
