"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","4","5.6","Airport ICAO Identifier","AirportIcaoIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"13","4","5.33","NDB Identifier","NdbIdentifier",,,,,,
"17","2",,"Blank (Spacing)","BlankSpacing",,,,,,
"19","2","5.14","NDB ICAO Location Code","NdbIcaoLocationCode",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","5","5.34","NDB Frequency","NdbFrequency",,,,,,
"27","5","5.35","NDB Class","NdbClass",,,,,,
"32","9","5.36","NDB Latitude","NdbLatitude",,,,,,
"41","10","5.37","NDB Longitude","NdbLongitude",,,,,,
"51","23",,"Blank (Spacing)","BlankSpacing",,,,,,
"74","5","5.39","Magnetic Variation","MagneticVariation",,,,,,
"79","6",,"Blank (Spacing)","BlankSpacing",,,,,,
"85","5",,"Reserved Expansion","ReservedExpansion",,,,,,
"90","3","5.197","Datum Code","DatumCode",,,,,,
"93","30","5.71","NDB Name","NdbName",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
