"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode","Subsection codes: Enroute Waypoint Records=Index5 while index12 is blank. __ Airport or Heliport Terminal Waypoint Records=index12 while index5 is blank.",,,,,
"6","4","5.41","Region Code","RegionCode",,"For Enroute Waypoint Records, the region code is listed as “ENRT.” For Terminal Waypoint Records, that field is populated with the Airport ICAO Identification code.",,,,
"10","2","5.14","Region ICAO Location Code","RegionIcaoLocationCode",,,,,,
"12","1","5.5","Subsection","Subsection","Subsection codes: Enroute Waypoint Records=Index5 while index12 is blank. __ Airport or Heliport Terminal Waypoint Records=index12 while index5 is blank.",,,,,
"13","5","5.13","Waypoint Identifier","WaypointIdentifier",,,,,,
"18","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"19","2","5.14","Waypoint ICAO Location Code","WaypointIcaoLocationCode",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","4",,"Blank (Spacing)","BlankSpacing",,,,,,
"26","3","5.42","Waypoint Type","WaypointType",,,,,,
"29","2","5.82","Waypoint Usage","WaypointUsage",,,,,,
"31","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"32","9","5.36","Waypoint Latitude","WaypointLatitude",,,,,,
"41","10","5.37","Waypoint Longitude","WaypointLongitude",,,,,,
"51","23",,"Blank (Spacing)","BlankSpacing",,,,,,
"74","5","5.39","Dynamic Mag. Variation","DynamicMagVariation",,,,,,
"79","5",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"84","3","5.197","Datum Code","DatumCode",,,,,,
"87","8",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"95","3","5.196","Name Format Indicator","NameFormatIndicator",,,,,,
"98","25","5.43","Waypoint Name/Description","WaypointNameDescription",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
