"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1","5.5","Subsection Code","SubsectionCode",,,,,,
"6","7",,"Blank (Spacing)","BlankSpacing",,,,,,
"13","5","5.8","Route Identifier","RouteIdentifier","The standard Route Identifier length is five characters; however, this reserved column permits six-character identifiers and may also be used by some data suppliers for the ATS Service suffix associated with certain Route Identifiers. The following 18th index is this reserved character.",,,,,
"18","1",,"Reserved","Reserved",,,,,,
"19","6",,"Blank (Spacing)","BlankSpacing",,,,,,
"25","4","5.12","Sequence Number","SequenceNumber",,,,,,
"29","5","5.13","Fix Identifier","FixIdentifier",,,,,,
"34","2","5.14","Fix ICAO Location Code","FixIcaoLocationCode",,,,,,
"36","1","5.4","Section Code","SectionCode",,,,,,
"37","1","5.5","Subsection","Subsection",,,,,,
"38","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"39","4","5.17","Waypoint Description Code","WaypointDescriptionCode",,,,,,
"43","1","5.18","Boundary Code","BoundaryCode",,,,,,
"44","1","5.7","Route Type","RouteType",,,,,,
"45","1","5.19","Level","Level",,,,,,
"46","1","5.115","Direction Restriction","DirectionRestriction",,,,,,
"47","2","5.134","Cruise Table Indicator","CruiseTableIndicator",,,,,,
"49","1","5.164","EU Indicator","EuIndicator",,,,,,
"50","4","5.23","Recommended NAVAID","RecommendedNavaid",,,,,,
"54","2","5.14","Recommended NAVAIDICAO Location Code","RecommendedNavaidIcaoLocationCode",,,,,,
"56","3","5.211","RNP","Rnp",,,,,,
"59","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"62","4","5.24","Theta","Theta",,,,,,
"66","4","5.25","Rho","Rho",,,,,,
"70","4","5.26","Outbound Magnetic Course","OutboundMagneticCourse",,,,,,
"74","4","5.27","Route Distance From","RouteDistanceFrom",,,,,,
"78","4","5.28","Inbound Magnetic Course","InboundMagneticCourse",,,,,,
"82","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"83","5","5.30","Minimum Altitude 1","MinimumAltitude1","If the minimum altitude is the same in both directions, the MinimumAltitude1 field contains the MEA or MFA and MinimumAltitude2 is blank; if the altitudes differ by direction, MinimumAltitude1 applies to the coded direction and MinimumAltitude2 applies to the opposite direction; UNKNN means the altitude is unknown, and NESTB means it has not been established.",,,,,
"88","5","5.30","Minimum Altitude 2","MinimumAltitude2","If the minimum altitude is the same in both directions, the MinimumAltitude1 field contains the MEA or MFA and MinimumAltitude2 is blank; if the altitudes differ by direction, MinimumAltitude1 applies to the coded direction and MinimumAltitude2 applies to the opposite direction; UNKNN means the altitude is unknown, and NESTB means it has not been established.",,,,,
"93","5","5.127","Maximum Altitude","MaximumAltitude",,,,,,
"98","3","5.254","Fix Radius Transition Indicator","FixRadiusTransitionIndicator",,,,,,
"101","22",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"123","5","5.31","File Record No","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
