"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport ICAO Identifier","AirportIcaoIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","3","5.107","ATA/IATA Designator","AtaIataDesignator",,,,,,
"16","2",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"18","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"21","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"22","5","5.73","Speed Limit Altitude","SpeedLimitAltitude",,,,,,
"27","3","5.54","Longest Runway","LongestRunway",,,,,,
"30","1","5.108","IFR Capability","IfrCapability",,,,,,
"31","1","5.249","Longest Runway Surface Code","LongestRunwaySurfaceCode",,,,,,
"32","9","5.36","Airport Reference Pt. Latitude","AirportReferencePtLatitude",,,,,,
"41","10","5.37","Airport Reference Pt. Longitude","AirportReferencePtLongitude",,,,,,
"51","5","5.39","Magnetic Variation","MagneticVariation",,,,,,
"56","5","5.55","Airport Elevation","AirportElevation",,,,,,
"61","3","5.72","Speed Limit","SpeedLimit",,,,,,
"64","4","5.23","Recommended Navaid","RecommendedNavaid",,,,,,
"68","2","5.14","Recommended Navaid ICAO Location Code","RecommendedNavaidIcaoLocationCode",,,,,,
"70","5","5.53","Transitions Altitude","TransitionsAltitude",,,,,,
"75","5","5.53","Transition Level","TransitionLevel",,,,,,
"80","1","5.177","Public/Military Indicator","PublicMilitaryIndicator",,,,,,
"81","3","5.178","Time Zone","TimeZone",,,,,,
"84","1","5.179","Daylight Indicator","DaylightIndicator",,,,,,
"85","1","5.165","Magnetic/True Indicator","MagneticTrueIndicator",,,,,,
"86","3","5.197","Datum Code","DatumCode",,,,,,
"89","4",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"93","30","5.71","Airport Name","AirportName",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
