"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","6","5.9, 5.10","SID/STAR/Approach Identifier","SidStarApproachIdentifier","SID/STAR IDs, see Section 5.9. IAP IDs, see Section 5.10.",,,,,
"19","1","5.7","Route Type","RouteType",,,,,,
"20","5","5.11","Transition Identifier","TransitionIdentifier",,,,,,
"25","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"26","3","5.12","Sequence Number","SequenceNumber",,,,,,
"29","5","5.13","Fix Identifier","FixIdentifier",,,,,,
"34","2","5.14","Fix ICAO Location Code","FixIcaoLocationCode",,,,,,
"36","1","5.4","Fix Section Code","FixSectionCode",,,,,,
"37","1","5.5","Fix Subsection Code","FixSubsectionCode",,,,,,
"38","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"39","4","5.17","Waypoint Description Code","WaypointDescriptionCode",,,,,,
"43","1","5.20","Turn Direction","TurnDirection",,,,,,
"44","3","5.211","RNP","Rnp",,,,"If the RNAV procedure has only one set of RNP criteria, it is in the Primary Record’s RNP value field; otherwise, one consistent set of RNP values represent the least restrictive operating criteria, without mixing values from different criteria.",,
"47","2","5.21","Path and Termination","PathAndTermination",,,,,,
"49","1","5.22","Turn Direction Valid","TurnDirectionValid",,,,,,
"50","4","5.23","Recommended Navaid","RecommendedNavaid",,,,,,
"54","2","5.14","Recommended Navaid ICAO Location Code","RecommendedNavaidIcaoLocationCode",,,,,,
"56","6","5.204","ARC Radius","ArcRadius",,,,,,
"62","4","5.24","Theta","Theta",,,,,,
"66","4","5.25","Rho","Rho",,,,,,
"70","4","5.26","Magnetic Course","MagneticCourse",,,,,,
"74","4","5.27","Route Distance/Holding Distance or Time","RouteDistanceHoldingDistanceOrTime",,,,,,
"78","1","5.4","RECD NAV Section","RecdNavSection",,,,,,
"79","1","5.5","RECD NAV Subsection","RecdNavSubsection",,,,,,
"80","2",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"82","1","5.29","Altitude Description","AltitudeDescription",,,,,,
"83","1","5.81","ATC Indicator","AtcIndicator",,,,,,
"84","5","5.30","Altitude1","Altitude1","If the Altitude Description (Field 5.29) contains +, -, B, G, H, or V require value in Altitude1; I, J, or blank may include value in Altitude1; and B, C, G, H, I, J, or V require a value in Altitude2.",,,,,
"89","5","5.30","Altitude2","Altitude2","If the Altitude Description (Field 5.29) contains +, -, B, G, H, or V require value in Altitude1; I, J, or blank may include value in Altitude1; and B, C, G, H, I, J, or V require a value in Altitude2.",,,,,
"94","5","5.53","Transition Altitude","TransitionAltitude",,,,,,
"99","3","5.72","Speed Limit","SpeedLimit",,,,,,
"102","4","5.70","Vertical Angle","VerticalAngle",,,,,,
"106","5","5.144 or 5.271","Center Fix or TAA Procedure Turn Indicator","CenterFixOrTaaProcedureTurnIndicator",,,,,,
"111","1","5.130 or 5.272","Multiple Code or TAA Sector Identifier","MultipleCodeOrTaaSectorIdentifier",,,,,,
"112","2","5.14","Point Reference ICAO Location Code","PointReferenceIcaoLocationCode",,,"When index 106 thru 115 are providing a reference to a MSA or the center fix for an RF leg, all of the columns are used. When they are providing a reference to a TAA, only index 106 thru 111 are used and 112 thru 115 are blank.",,,
"114","1","5.4","Point Section Code","PointSectionCode",,,"When index 106 thru 115 are providing a reference to a MSA or the center fix for an RF leg, all of the columns are used. When they are providing a reference to a TAA, only index 106 thru 111 are used and 112 thru 115 are blank.",,,
"115","1","5.5","Point Subsection Code","PointSubsectionCode",,,"When index 106 thru 115 are providing a reference to a MSA or the center fix for an RF leg, all of the columns are used. When they are providing a reference to a TAA, only index 106 thru 111 are used and 112 thru 115 are blank.",,,
"116","1","5.222","GNSS/FMS Indication","GnssFmsIndication",,,,,,
"117","1","5.261","Speed Limit Description","SpeedLimitDescription",,,,,,
"118","1","5.7","Apch Route Qualifier 1","ApchRouteQualifier1",,"Indexes 118 and 119 are required to match the Primary Record with the Continuation Record; this non-standard column order preserves the Primary Record format for SID, STAR, and Approach Records as much as possible following the introduction of these fields in Supplement 14.",,,,
"119","1","5.7","Apch Route Qualifier 2","ApchRouteQualifier2",,"Indexes 118 and 119 are required to match the Primary Record with the Continuation Record; this non-standard column order preserves the Primary Record format for SID, STAR, and Approach Records as much as possible following the introduction of these fields in Supplement 14.",,,,
"120","3",,"Blank (Spacing)","BlankSpacing",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
