"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Airport Identifier","AirportIdentifier",,,,,,
"10","2","5.14","Airport ICAO Location Code","AirportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","6","5.9, 5.10","SID/STAR/Approach Identifier","SidStarApproachIdentifier","SID/STAR IDs, see Section 5.9. IAP IDs, see Section 5.10.",,,,,
"19","1","5.7","Route Type","RouteType",,,,,,
"20","5","5.11","Transition Identifier","TransitionIdentifier",,,,,,
"25","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"26","3","5.12","Sequence Number","SequenceNumber",,,,,,
"29","5","5.13","Fix Identifier","FixIdentifier",,,,,,
"34","2","5.14","Fix ICAO Location Code","FixIcaoLocationCode",,,,,,
"36","1","5.4","Fix Section Code","FixSectionCode",,,,,,
"37","1","5.5","Fix Subsection Code","FixSubsectionCode",,,,,,
"38","1","5.16","Continuation Record Number","ContinuationRecordNumber",,,,,,
"39","1","5.91","Application Type","ApplicationType",,,,,,
"40","1","5.276","FAS Block Provided","FasBlockProvided",,,,,,
"41","10","5.275","FAS Block Provided Level of Service Name","FasBlockProvidedLevelOfServiceName",,,,,,
"51","1","5.276","LNAV/VNAV Authorized for SBAS","LnavVnavAuthorizedForSbas",,,,,,
"52","10","5.275","LNAV/VNAV Level of Service Name","LnavVnavLevelOfServiceName",,,,,,
"62","1","5.276","LNAV Authorized for SBAS","LnavAuthorizedForSbas",,,,,,
"63","10","5.275","LNAV Level of Service Name","LnavLevelOfServiceName",,,,,,
"73","45",,"Blank (Spacing)","BlankSpacing",,,,,,
"118","1","5.7","Approach Route Type Qualifier 1","ApproachRouteTypeQualifier1","Indexes 118 and 119 are required to match the Primary Record with the Continuation Record; this non-standard column order preserves the Primary Record format for SID, STAR, and Approach Records as much as possible following the introduction of these fields in Supplement 14.",,,,,
"119","1","5.7","Approach Route Type Qualifier 2","ApproachRouteTypeQualifier2","Indexes 118 and 119 are required to match the Primary Record with the Continuation Record; this non-standard column order preserves the Primary Record format for SID, STAR, and Approach Records as much as possible following the introduction of these fields in Supplement 14.",,,,,
"120","3",,"Blank","Blank",,,,,,
"123","5","5.31","File Record Number","FileRecordNumber",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
