"StartIndex","FieldLength","FieldId","FieldName","PropertyName","Note1","Note2","Note3","Note4","Note5","Note6"
"0","1","5.2","Record Type","RecordType",,,,,,
"1","3","5.3","Customer/Area Code","CustomerAreaCode",,,,,,
"4","1","5.4","Section Code","SectionCode",,,,,,
"5","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"6","4","5.6","Heliport Identifier","HeliportIdentifier",,,,,,
"10","2","5.14","Heliport ICAO Location Code","HeliportIcaoLocationCode",,,,,,
"12","1","5.5","Subsection Code","SubsectionCode",,,,,,
"13","3","5.107","ATA/IATA Designator","AtaIataDesignator",,,,,,
"16","5","5.180","PAD Identifier","PadIdentifier",,,,,,
"21","1","5.16","Continuation Record No.","ContinuationRecordNo",,,,,,
"22","5","5.73","Speed Limit Altitude","SpeedLimitAltitude",,,,,,
"27","3","5.197","Datum Code","DatumCode",,,,,,
"30","1","5.108","IFR Indicator","IfrIndicator",,,,,,
"31","1",,"Blank (Spacing)","BlankSpacing",,,,,,
"32","9","5.36","Latitude","Latitude",,,,,,
"41","10","5.37","Longitude","Longitude",,,,,,
"51","5","5.39","Magnetic Variation","MagneticVariation",,,,,,
"56","5","5.55","Heliport Elevation","HeliportElevation",,,,,,
"61","3","5.72","Speed Limit","SpeedLimit",,,,,,
"64","4","5.23","Recommended VHF Navaid","RecommendedVhfNavaid",,,,,,
"68","2","5.14","Recommended VHF Navaid ICAO Location Code","RecommendedVhfNavaidIcaoLocationCode",,,,,,
"70","5","5.53","Transition Altitude","TransitionAltitude",,,,,,
"75","5","5.53","Transition Level","TransitionLevel",,,,,,
"80","1","5.177","Public Military Indicator","PublicMilitaryIndicator",,,,,,
"81","3","5.178","Time Zone","TimeZone",,,,,,
"84","1","5.179","Daylight Indicator","DaylightIndicator",,,,,,
"85","6","5.176","Pad Dimensions","PadDimensions",,,,,,
"91","1","5.165","Magnetic/True Indicator","MagneticTrueIndicator",,,,,,
"92","1",,"Reserved (Expansion)","ReservedExpansion",,,,,,
"93","30","5.71","Heliport Name","HeliportName",,,,,,
"123","5","5.31","File Record No.","FileRecordNo",,,,,,
"128","4","5.32","Cycle Date","CycleDate",,,,,,
