"FieldId","FieldName","PropertyType","Convert","FieldDescription"
"5.2","","String","",""
"5.3","","String","",""
"5.4","","String","",""
"5.5","","String","",""
"5.6","","String","",""
"5.7","","String","",""
"5.8","","String","",""
"5.9","","String","",""
"5.10","","String","",""
"5.11","","String","",""
"5.12","","String","",""
"5.13","","String","",""
"5.14","","String","",""
"5.16","","String","",""
"5.17","","String","",""
"5.18","","String","",""
"5.19","","String","",""
"5.20","","String","",""
"5.21","","String","",""
"5.22","","String","",""
"5.23","","String","",""
"5.24","","String","",""
"5.25","","String","",""
"5.26","","String","",""
"5.27","","String","",""
"5.28","","String","",""
"5.29","","String","",""
"5.30","","String","",""
"5.31","","String","",""
"5.32","","String","",""
"5.33","","String","",""
"5.34","","String","",""
"5.35","","String","",""
"5.36","","String","",""
"5.37","","String","",""
"5.38","","String","",""
"5.39","","String","",""
"5.40","","String","",""
"5.41","","String","",""
"5.42","","String","",""
"5.43","","String","",""
"5.44","","String","",""
"5.45","","String","",""
"5.46","","String","",""
"5.47","","String","",""
"5.48","","String","",""
"5.49","","String","",""
"5.50","","String","",""
"5.51","","String","",""
"5.52","","String","",""
"5.53","","String","",""
"5.54","","String","",""
"5.55","","String","",""
"5.57","","String","",""
"5.58","","String","",""
"5.59","","String","",""
"5.66","","String","",""
"5.67","","String","",""
"5.68","","String","",""
"5.69","","String","",""
"5.70","","String","",""
"5.71","","String","",""
"5.72","","String","",""
"5.73","","String","",""
"5.74","","String","",""
"5.79","","String","",""
"5.80","","String","",""
"5.81","","String","",""
"5.82","","String","",""
"5.90","","String","",""
"5.91","","String","",""
"5.107","","String","",""
"5.108","","String","",""
"5.109","","String","",""
"5.115","","String","",""
"5.118","","String","",""
"5.119","","String","",""
"5.120","","String","",""
"5.121","","String","",""
"5.126","","String","",""
"5.127","","String","",""
"5.128","","String","",""
"5.129","","String","",""
"5.130","","String","",""
"5.131","","String","",""
"5.132","","String","",""
"5.133","","String","",""
"5.134","","String","",""
"5.138","","String","",""
"5.140","","String","",""
"5.141","","String","",""
"5.142","","String","",""
"5.143","","String","",""
"5.144","","String","",""
"5.145","","String","",""
"5.146","","String","",""
"5.147","","String","",""
"5.149","","String","",""
"5.150","","String","",""
"5.164","","String","",""
"5.165","","String","",""
"5.176","","String","",""
"5.177","","String","",""
"5.178","","String","",""
"5.179","","String","",""
"5.180","","String","",""
"5.195","","String","",""
"5.196","","String","",""
"5.197","","String","",""
"5.204","","String","",""
"5.211","","String","",""
"5.212","","String","",""
"5.213","","String","",""
"5.214","","String","",""
"5.215","","String","",""
"5.216","","String","",""
"5.222","","String","",""
"5.223","","String","",""
"5.224","","String","",""
"5.225","","String","",""
"5.226","","String","",""
"5.227","","String","",""
"5.228","","String","",""
"5.229","","String","",""
"5.244","","String","",""
"5.249","","String","",""
"5.254","","String","",""
"5.255","","String","",""
"5.256","","String","",""
"5.257","","String","",""
"5.258","","String","",""
"5.259","","String","",""
"5.261","","String","",""
"5.262","","String","",""
"5.263","","String","",""
"5.264","","String","",""
"5.265","","String","",""
"5.266","","String","",""
"5.267","","String","",""
"5.268","","String","",""
"5.269","","String","",""
"5.270","","String","",""
"5.271","","String","",""
"5.272","","String","",""
"5.275","","String","",""
"5.276","","String","",""
