FieldName,PropertyName,ReferenceFieldId,Index,Length,DataType,Remarks
Record Type,RecordType,5.2,0,1,String,"Record types are divided into ""standard"" (S) and ""tailored"" (T) groups based on the first column; standard records precede tailored records in the file."
Customer/Area Code,CustomerAreaCode,5.3,1:3,3,String,"Identifies the customer or area the data is intended for, such as nations (e.g., USA, CAN, EUR) or operators (e.g., UAL, DAL)."
Section Code,SectionCode,5.4,4,1,String,"Single character identifying the data section or domain, such as NAVAIDS (D), AIRPORT (P), ENROUTE (E), etc."
Blank (Spacing),,,5,1,,
Airport Identifier,AirportIdentifier,5.6,6:9,4,String,"Contains the ICAO airport identifier to which the record's data applies. If there is no published ICAO Airport Identifier, then the published FAA Airport Identifier will be used."
ICAO Code,AirportIcaoLocationCode,5.14,10:11,2,String,"Two-character ICAO code used for geographic categorization, typically based on ICAO Doc 7910. U.S. codes begin with 'K' followed by a digit for regional subdivision (e.g., K1, K7). Used for airports with at least one hard-surfaced runway or supporting enroute airway structure. If no ICAO identifier is published, the FAA identifier is used instead."
Subsection Code,SubsectionCode,5.5,12,1,String,"Defines the specific subsection within a major database section where the record resides; used with Section Code and record identifier to reference related data such as fixes, procedures, communications, and routes."
Localizer Identifier,LocId,5.44,13:16,4,String,"Identifies the Localizer, MLS facility, or GLS Reference Path associated with a runway, using the facility or path code (e.g., IDEN, ISTX, IDU, PP, MDEN, MSTX, MLAX, LFBL, EGLC, KSAN)."
ILS Category,IlsCat,5.80,17,1,String,"Defines the performance category or classification of a Localizer, MLS, or GLS system: 0=ILS Localizer only (no glideslope) __ 1=ILS/MLS/GLS Category I __ 2=ILS/MLS/GLS Category II __ 3=ILS/MLS/GLS Category III __ I=IGS Facility __ L=LDA Facility with glideslope __ A=LDA Facility without glideslope __ S=SDF Facility with glideslope __ F=SDF Facility without glideslope."
Blank (Spacing),,,18:20,3,,
Continuation Record No.,ContinuationRecordNumber,5.16,21,1,String,"Identifies the position of a continuation record in a sequence; primary records use '0' if no continuation follows, '1' if they do, with continuations numbered '2'â€“'9' and then 'A'â€“'Z' as needed."
Localizer Frequency,LocFreq,5.45,22:26,5,String,"Specifies the VHF frequency of the localizer in 50 kHz resolution, with the decimal suppressed (e.g., 11030, 11195)."
Runway Identifier,RwyId,5.46,27:31,5,String,"Specifies the runway ID associated with runway data or ILS/MLS records, formatted as “RW” plus a two-digit number (01–36) and optional suffix: C (Center), L (Left), R (Right), T (True degrees), or special types W (Water), S (Soft-surface), G (Glider), U (Ultralight), numeric (Assault Strip); e.g., RW26L, RW08R, RW26C, RW05, RW17T. Note: Non-numeric runway identifiers (5.46) are included and will not carry the prefixed ‘RW’ characters."
Localizer Latitude,LocLat,5.36,32:40,9,String,"Specifies the latitude of the navigational feature using one alpha character ('N' or 'S') followed by eight digits representing degrees, minutes, seconds, tenths, and hundredths of seconds (e.g., N39513881)."
Localizer Longitude,LocLon,5.37,41:50,10,String,"Specifies the longitude of the navigational feature using one alpha character ('E' or 'W') followed by nine digits representing degrees, minutes, seconds, tenths, and hundredths of seconds (e.g., W104450794)."
Localizer Bearing,LocBearing,5.47,51:54,4,String,"Defines the magnetic bearing of the localizer course in degrees and tenths (decimal suppressed), with a trailing “T” for true courses (e.g., 2570, 0147, 2910, 347T)."
Glide Slope Latitude,GlideSlopeLat,5.36,55:63,9,String,"Specifies the latitude of the navigational feature using one alpha character ('N' or 'S') followed by eight digits representing degrees, minutes, seconds, tenths, and hundredths of seconds (e.g., N39513881)."
Glide Slope Longitude,GlideSlopeLon,5.37,64:73,10,String,"Specifies the longitude of the navigational feature using one alpha character ('E' or 'W') followed by nine digits representing degrees, minutes, seconds, tenths, and hundredths of seconds (e.g., W104450794)."
Localizer Position,LocPosition,5.48,74:77,4,String,"Specifies the antenna’s position relative to the runway end, given as a distance in feet with 1-ft resolution (e.g., 0950, 1000)."
Localizer Position Reference,LocPositionReference,5.49,78,1,String,"Indicates the antenna’s position relative to the runway: Localizer/Azimuth — @=beyond stop end, +=ahead of approach end, -=off to one side; Back Azimuth — @=ahead of approach end, +=beyond stop end, -=off to one side."
Glide Slope Position,GlideSlopePosition,5.50,79:82,4,String,"Specifies the glide slope antenna’s distance in feet from the runway threshold, measured perpendicular to the runway, with 1-ft resolution (e.g., 0980, 1417)."
Localizer Width,LocWidth,5.51,83:86,4,String,"Specifies the localizer course width in degrees, tenths, and hundredths (decimal suppressed) for the ILS facility (e.g., 0500, 0400, 0350)."
Glide Slope Angle,GlideSlopeAngle,5.52,87:89,3,String,"Specifies the glide slope angle for an ILS facility or GLS approach in degrees, tenths, and hundredths (decimal suppressed) (e.g., 275, 300)."
